id,lat,lon,city_name,pop_size,state,immunity
412,45.1707078,-121.0883913,Maupin city,427,OR,0
413,45.552517,-122.5617781,Maywood Park city,829,OR,0
414,42.3368964,-122.8542443,Medford city,85824,OR,0
415,42.0260151,-121.6008496,Merrill city,821,OR,0
416,44.5874794,-121.1759887,Metolius city,978,OR,0
417,44.7519771,-122.4776267,Mill City city,1971,OR,0
418,44.6788556,-123.0727731,Millersburg city,2919,OR,0
419,45.9339992,-118.3909669,Milton-Freewater city,7151,OR,0
420,45.4441239,-122.6209153,Milwaukie city,21119,OR,0
421,44.5736953,-120.1528829,Mitchell city,138,OR,0
422,45.1493479,-122.5848652,Molalla city,10228,OR,0
423,44.8501422,-123.2280696,Monmouth city,11110,OR,0
424,44.3168534,-123.2988636,Monroe city,647,OR,0
425,44.8207947,-119.4208851,Monument city,115,OR,0
426,45.4837523,-120.7333155,Moro city,367,OR,0
427,45.6850379,-121.3982159,Mosier city,468,OR,0
428,45.0695345,-122.7972188,Mount Angel city,3392,OR,0
429,44.4168969,-119.1131737,Mount Vernon city,548,OR,0
430,43.0240649,-123.2783498,Myrtle Creek city,3481,OR,0
431,43.06268,-124.1330796,Myrtle Point city,2475,OR,0
432,45.7195281,-123.8940233,Nehalem city,270,OR,0
433,45.307427,-122.9600833,Newberg city,25138,OR,0
434,44.6208693,-124.043041,Newport city,10256,OR,0
435,43.4071635,-124.2344826,North Bend city,10317,OR,0
436,45.5974591,-122.9947008,North Plains city,3441,OR,0
437,45.0300075,-117.9204,North Powder city,504,OR,0
438,43.8778801,-116.9956,Nyssa city,3198,OR,0
439,43.4229976,-123.2971678,Oakland city,934,OR,0
440,43.7450518,-122.4650256,Oakridge city,3206,OR,0
441,44.0258934,-116.9760181,Ontario city,11645,OR,0
442,45.3413145,-122.5923267,Oregon City city,37572,OR,0
443,42.6925864,-120.5454389,Paisley city,250,OR,0
444,45.6756755,-118.8201702,Pendleton city,17107,OR,0
445,44.5419726,-123.3595269,Philomath city,5350,OR,0
446,42.2748494,-122.8152909,Phoenix city,4475,OR,0
447,45.4927645,-118.8301719,Pilot Rock city,1328,OR,0
448,45.5369506,-122.649971,Portland city,652503,OR,0
449,42.7492759,-124.4981176,Port Orford city,1146,OR,0
450,42.8850025,-124.076248,Powers city,710,OR,0
451,44.4611005,-118.7093802,Prairie City city,841,OR,0
452,46.0476055,-122.8870769,Prescott city,82,OR,0
453,44.29854,-120.8607194,Prineville city,10736,OR,0
454,46.0713875,-122.9414013,Rainier city,1911,OR,0
455,44.2606936,-121.1824247,Redmond city,33274,OR,0
456,43.6988541,-124.1119181,Reedsport city,4310,OR,0
457,44.769508,-117.1685758,Richland city,165,OR,0
458,42.9541768,-123.3644849,Riddle city,1214,OR,0
459,45.385167,-122.7335253,Rivergrove city,545,OR,0
460,45.6168879,-123.9390346,Rockaway Beach city,1441,OR,0
461,42.4355337,-123.1682256,Rogue River city,2407,OR,0
462,43.2236037,-123.352037,Roseburg city,23683,OR,0
463,45.6890572,-120.7460503,Rufus city,268,OR,0
464,45.8568209,-122.816279,St. Helens city,13817,OR,0
465,45.2122494,-122.9771665,St. Paul city,434,OR,0
466,44.9238996,-123.0230068,Salem city,175535,OR,0
467,45.4000195,-122.2695804,Sandy city,12612,OR,0
468,45.7580818,-122.8730994,Scappoose city,8010,OR,0
469,44.7046295,-122.8508911,Scio city,956,OR,0
470,45.0410298,-122.6689233,Scotts Mills city,419,OR,0
471,45.9890188,-123.9209579,Seaside city,7115,OR,0
472,44.1352194,-118.9762705,Seneca city,165,OR,0
473,42.6053205,-122.819377,Shady Cove city,3081,OR,0
474,45.0036531,-120.7521514,Shaniko city,30,OR,0
475,45.0959326,-123.3980875,Sheridan city,4639,OR,0
476,45.3594623,-122.8426643,Sherwood city,20450,OR,0
477,44.7218344,-123.9187001,Siletz city,1230,OR,0
478,45.0033914,-122.7809282,Silverton city,10484,OR,0
